PID,SMILES
PID00140,*CC(*)c1ccc(/C(C)=N/O)cc1
PID00141,*CC(*)c1ccc(C(C)(C)O)cc1
PID00142,*CC(*)c1ccc(C(C)(O)CC)cc1
PID00143,*CC(*)c1ccc(C(C)(O)CCC)cc1
PID00144,*CC(*)c1ccc(C(C)(O)CCCC)cc1
PID00145,*CC(*)c1ccc(C(C)(O)CCCCC)cc1
PID00146,*CC(*)c1ccc(C(O)CCN(C)C)cc1
PID00147,*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1
PID00148,*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1
PID00149,*CC(*)c1ccc(COC)cc1
PID00150,*CC(*)c1ccc(COCCO)cc1
PID00151,*CC(*)c1ccc(COCCC)cc1
PID00152,*CC(*)c1ccc(COCCCC)cc1
PID00153,*CC(*)c1ccc(COCCCCO)cc1
PID00154,*CC(*)c1ccc(COC(C)CC)cc1
PID00155,*CC(*)c1ccc(COCCCCCC)cc1
PID00156,*CC(*)c1ccc(COCCOCCCC)cc1
PID00157,*CC(*)c1ccc(C(=O)N(C)C)cc1
PID00158,*CC(*)c1ccc(C(=O)N(CC)CC)cc1
PID00159,*CC(*)c1ccc(C(=O)N2CCCCC2)cc1
PID00160,*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1
PID00161,*CC(*)c1ccc(C(=O)N2CCOCC2)cc1
PID00162,*CC(*)c1ccc(C(=O)OC)cc1
PID00163,*CC(*)c1ccc(C(=O)OCC)cc1
PID00164,*CC(*)c1ccc(C(=O)OCCC)cc1
PID00165,*CC(*)c1ccc(C(=O)OC(C)C)cc1
PID00166,*CC(*)c1ccc(C(=O)OCCCC)cc1
PID00167,*CC(*)c1ccc(C(=O)OCC(C)C)cc1
PID00168,*CC(*)c1ccc(C(=O)OCCCCCC)cc1
PID00169,*CC(*)c1ccc(C(=O)CC)cc1
PID00170,*CC(*)c1ccc(C(=O)CCC)cc1
PID00171,*CC(*)c1ccc(C(=O)CCCC)cc1
PID00172,*CC(*)c1ccc(C(=O)CCCCC)cc1
PID00173,*CC(*)c1ccc(C(=O)CCCCCCC)cc1
PID00174,*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1
PID00175,*CC(*)c1ccc(C(=O)c2ccccc2)cc1
PID00176,*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1
PID00177,*CC(*)c1ccc(F)cc1
PID00178,*CC(*)c1ccc(I)cc1
PID00179,*CC(*)c1ccc(N(C)C)cc1
PID00180,*CC(*)c1ccc(OC)cc1
PID00181,*CC(*)c1ccc(OCC)cc1
PID00182,*CC(*)c1ccc(OCCC)cc1
PID00183,*CC(*)c1ccc(OCCCC)cc1
PID00184,*CC(*)c1ccc(OCCC(C)C)cc1
PID00185,*CC(*)c1ccc(Oc2ccccc2)cc1
PID00186,*CC(*)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
PID00187,*CC(*)c1ccc(S(=O)(=O)OCCC)cc1
PID00188,*CC(*)c1ccc([Si](C)(C)C)cc1
PID00189,*CC(*)c1c(Cl)cccc1Cl
PID00190,*CC(*)c1ccc(C)cc1C
PID00191,*CC(*)c1ccc(C(C)C)cc1C(C)C
PID00192,*CC(*)c1ccc(F)cc1C
PID00193,*CC(*)c1ccc(Cl)cc1C
PID00194,*CC(*)c1ccc(Cl)cc1Cl
PID00195,*CC(*)c1cc(C)ccc1C
PID00196,*CC(*)c1cc(C(C)(C)C)ccc1C
PID00197,*CC(*)c1cc(C(C)C)ccc1C(C)C
PID00198,*CC(*)c1cc(Cl)ccc1Cl
PID00199,*CC(*)c1cc(F)ccc1F
PID00200,*CC(*)c1cc(C)ccc1F
PID00201,*CC(*)c1cc(Br)ccc1OCCCC
PID00202,*CC(*)c1cc(Br)ccc1OCC
PID00203,*CC(*)c1cc(Br)ccc1OC
PID00204,*CC(*)c1cc(Br)ccc1OCCC
PID00205,*CC(*)c1cc(Br)ccc1OC(C)C
PID00206,*CC(*)c1cc(Br)ccc1OCCCCC
PID00207,*CC(*)c1cc(Br)ccc1OCCC(C)C
PID00208,*CC(*)c1cc(C)cc(C)c1
PID00209,*CC(*)c1ccc(C)c(C)c1
PID00210,*CC(*)c1ccc(Cl)c(C)c1
PID00211,*CC(*)c1ccc(Cl)c(Cl)c1
PID00212,*CC(*)c1ccc(Cl)c(F)c1
PID00213,*CC(*)c1c(C)cc(C)cc1C
PID00214,*CC(*)c1cc(C)c(C)cc1C
PID00215,*CC(*)c1c(F)c(F)c(F)c(F)c1F
PID00216,*CC(*)(C)c1ccccc1
PID00217,*CC(*)(C)c1ccc(C(C)C)cc1
PID00218,*C(F)(F)C(*)(F)c1ccccc1
PID00219,*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F
PID00220,*CC(*)c1cccc2ccccc12
PID00221,*CC(*)c1ccc(C(C)=O)cc1
PID00222,*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1
PID00223,*CC(*)(C(=O)OC)c1ccccc1
PID00224,*CC(*)(C)c1ccc(C)cc1
PID00225,*C(c1ccccc1)C(*)[N+](=O)[O-]
PID00226,*CC(*)c1ccc(C(=O)C(F)(F)F)cc1
PID00227,*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1
PID00228,*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1
PID00229,*CC(*)c1cccc(B(O[Si](C)(C)C)O[Si](C)(C)C)c1
PID00230,*CC(*)c1ccc2ccccc2c1
PID00231,*CC(*)c1ccncc1
PID00232,*CC(*)c1cccc(C)n1
PID00233,*CC(*)c1ccc(C)nc1
PID00234,*CC(*)n1cc2ccccc2n1
PID00235,*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1
PID00236,*CC(*)c1ccc(O)cc1
PID00237,*CC(*)c1ccc(OC(C)=O)cc1
PID00238,*CC(*)c1ccc(CCC)cc1
PID00239,*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1
PID00240,*CC(*)c1ccc(COCC(CC)CCCC)cc1
PID00241,*CC(*)c1ccc(COCCOCCCCCCCC)cc1
PID00242,*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1
PID00243,*CC(CC(*)(C#N)C(=O)OC)c1ccccc1
PID00244,*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1
PID00245,*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H]
PID00246,*CC(*)O
PID00247,*CC(*)C=O
PID00248,*CC(*)OC(=O)CCCCCCCCCCC
PID00249,*CC(*)OC(=O)CCCCCCCCCCCCCCC
PID00250,*CC(*)OC(=O)CCCCCCCCCCCCCCCCC
PID00251,*CC(*)C(C)=O
PID00252,*CC(*)C(=O)C(C)C
PID00253,*CC(*)(C)C(C)=O
PID00254,*CC(*)C#N
PID00255,*CC(*)(C)C#N
PID00256,*CC(*)c1ccccn1
PID00257,*CC(*)n1c2ccccc2c2ccccc21
PID00258,*CC(*)C[SiH3]
PID00259,*CC(*)C[Si](C)(C)C
PID00260,*CC(*)OC
PID00261,*CC(*)OCC
PID00262,*CC(*)OCCCC
PID00263,*CC(*)OCCCCC
PID00264,*CC(*)OCCCCCC
PID00265,*CC(*)OCCCCCCCCCC
PID00266,*CC(*)OC(C)=O
PID00267,*CC(*)OC(=O)CC
PID00268,*CC(*)OC(=O)c1ccccc1
PID00269,*CC(*)OCC(C)C
PID00270,*CC(*)CCCCCCCCCO
PID00271,*CC(*)CCN(C(C)C)C(C)C
PID00272,*CC(*)CCCN(C(C)C)C(C)C
PID00273,*CC(*)CCCN(CC(C)C)CC(C)C
PID00274,*CC(*)O[N+](=O)[O-]
PID00275,*/C=C/C(C)C(*)C(=O)OC
PID00276,*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1
PID00277,*CC(*)CC[Si](C)(C)C
PID00278,*CC(*)CCC[Si](C)(C)C
PID00279,*CC(*)OC=O
PID00280,*CC(*)OCc1ccccc1
PID00281,*CC(*)OC(C)(C)C
PID00282,*C(C)C(*)OCC(C)C
PID00283,*CC(*)OC(C)C
PID00284,*CC(*)(C)OC
PID00285,*CC(*)OCC(C)(C)C
PID00286,*CC(*)OC(C)CC
PID00287,*CC(*)OC(=O)C(F)(F)F
PID00288,*/C=C/C(C*)OC
PID00289,*/C=C/CC(C)(CC*)C(=O)OC
PID00290,*CC(*)CCc1ccccc1C
PID00291,*CC(*)CCc1ccc(C)cc1
PID00292,*CC(*)OCCCCCCCCCCCC
PID00293,*C(C)C(*)OCCCC
PID00294,*C(C)C(*)OC(C)(C)C
PID00295,*C(C)C(*)OCC
PID00296,*C(C)C(*)OC(C)C
PID00297,*C(C)C(*)OC
PID00298,*C(C)C(*)OCCC
PID00299,*C1CC(*)(C#N)C1
PID00300,*CC(*)Cc1cc(C)ccc1C
PID00301,*CC(*)Cc1ccc(C)c(C)c1
PID00302,*CC(*)Cc1cc(C)cc(C)c1
PID00303,*CC(*)Cc1cccc(C)c1
PID00304,*CC(*)Cc1ccccc1C
PID00305,*CC(*)Cc1ccc(C)cc1
PID00306,*C(C)C(*)O
PID00307,*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1
PID00308,*CC(*)C(=O)C(C)(C)C
PID00309,*CC(*)C(=O)C1CCCCC1
PID00310,*CC(*)OC(=O)CCCCCCCCCCCCC
PID00311,*CC(*)C(=O)c1ccccc1O
PID00312,*/C=C/C(C*)OC
PID00313,*CC/C=C(/*)c1ccccc1
PID00314,*C(*)O
PID00315,*CC(*)OCC(CC)CCCC
PID00316,*CC(*)SCCCC
PID00317,*CC(*)OC1CCCCC1
PID00318,*CC(*)SCC
PID00319,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PID00320,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F
PID00321,*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F
PID00322,*C(OC(F)(F)F)C(*)(F)F
PID00323,*C(F)C(*)(F)OC(F)(F)F
PID00324,*C(F)(F)C(*)(F)OC(F)(F)F
PID00325,*CC(*)OCC(C)(C)CC
PID00326,*CC(*)SC
PID00327,*CC(*)OCCCCCCCC
PID00328,*CC(*)OCCC
PID00329,*CC(*)(F)C(C)=O
PID00330,*CC(*)C(=O)c1ccccc1
PID00331,*CC(*)C(=O)c1ccc(Br)c(OC)c1
PID00332,*CC(*)C(=O)c1ccc(C(C)(C)C)cc1
PID00333,*CC(*)C(=O)c1ccc(Cl)cc1
PID00334,*CC(*)C(=O)c1ccc(CC)cc1
PID00335,*CC(*)C(=O)c1ccc(C(C)C)cc1
PID00336,*CC(*)C(=O)c1ccc(OC)cc1
PID00337,*CC(*)C(=O)c1ccc(C)c(C)c1
