PID,SMILES,Polymer Class,Cp,std
P340018,*CC(*)(CC(=O)OCCCCCCCCC)C(=O)OCCCCCCCCC,"Polyacrylics, Polyvinyls",1799.12,0
P340083,*CC(*)(CC(=O)Oc1ccc(OCCCCCCC)cc1)C(=O)Oc1ccc(OCCCCCCC)cc1,"Polyacrylics, Polyvinyls",1288.672,0
P370214,*CC1=CC2C(=NC(O2)c2cccc(c2)C2N=C3C(O2)C=C(C=C3)*)C=C1,"Polyoxides/ethers/acetals,Polyimines",995.792,0
P370215,*Oc1ccc(c(c1)NC(=O)C1C(C(=O)O)C2C1C1C=CC2C(C1C(=O)O)C(=O)Nc1cc(*)ccc1N)N,"Polyamides/thioamides,Polyoxides/ethers/acetals",1361.0552,0
P380048,*C1C=C(CCCCCC)C(*)S1,Polysulfides,1079.472,0
P400140,*Nc1cc(Cc2ccc(O)c(NC(=O)c3ccc(C(*)=O)cc3)c2)ccc1O,Polyamides/thioamides,1317.96,0
P400141,*Nc1ccccc1NC(=O)c1cccc(C(*)=O)c1,Polyamides/thioamides,1230.096,0
P400142,*Nc1ccccc1NC(=O)c1ccc(C(*)=O)cc1,Polyamides/thioamides,1209.176,0
P400143,*c1nnc(-c2cccc(-c3nnc(-c4ccccc4NC(=O)c4ccc(C(=O)Nc5ccccc5*)cc4)[nH]3)c2)[nH]1,"Polyamides/thioamides, Polyimines",1046.4184,0
P402029,*NC(CO)C(*)=O,Polyamides/thioamides,1230.096,0
P410033,*CCCNC(=O)O*,Polyurethanes/thiourethanes,1453.94,0
P460064,*Nc1ccc(*)cc1,Polyimines,1003.7416,264.4288
P460067,*c1cccc(-c2nnc3c4ccccc4nc(-c4ccc(-c5nc6ccccc6c6nnc(*)n56)cc4)n23)c1,Polyimines,991.608,0
P010003,*CC(*)CC,Polyolefins,1987.8184,140.5824
P010004,*CC(*)CCC,Polyolefins,2052.6704,0
P010068,*/C=C/CCC*,Polydienes,1944.7232,0
P010072,*/C=C/CC*,Polydienes,1953.928,0
P020151,*CC(*)(C)c1ccccc1,"Polystyrenes, Polyvinyls",1268.1704,0
P030001,*CC(*)O,Polyvinyls,1530.9256,0
P040001,*CC(*)C(=O)O,"Polyacrylics, Polyvinyls",1742.2176,552.7064
P050004,*CC(*)(Cl)Cl,Polyhalo-olefins,856.8832,0
P070369,*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,Polyoxides/ethers/acetals,1506.24,0
P070498,*c1ccc(C2(c3ccc(-c4nnc(-c5ccc(-c6nnc(*)o6)cc5)o4)cc3)OC(=O)c3ccccc32)cc1,"Polyoxides/ethers/acetals, Polyesters/thioesters, Polyimines",1041.816,0
P090085,*CC(=O)O*,Polyesters/thioesters,2300.3632,75.7304
P090087,*CCCC(=O)O*,Polyesters/thioesters,1368.168,0
P090088,*CCCCC(=O)O*,Polyesters/thioesters,1359.8,0
P090089,*CCCCCC(=O)O*,Polyesters/thioesters,1414.192,0
P090090,*CCCCCCCCCCC(=O)O*,Polyesters/thioesters,1518.792,0
P090092,*CCCCCCCCCCCCCCC(=O)O*,Polyesters/thioesters,1535.528,0
P090093,*CCCCCCC(=O)O*,Polyesters/thioesters,1443.48,0
P090094,*CCCCCCCC(=O)O*,Polyesters/thioesters,1468.584,0
P090095,*CCCCCCCCC(=O)O*,Polyesters/thioesters,1485.32,0
P090096,*CCCCCCCCCC(=O)O*,Polyesters/thioesters,1778.2,0
