PID,SMILES
P020068,*CC(*)c1ccc(C(C)(O)CCCC)cc1
P020069,*CC(*)c1ccc(C(C)(O)CCCCC)cc1
P020070,*CC(*)c1ccc(C(O)CCN(C)C)cc1
P020071,*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1
P020072,*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1
P020074,*CC(*)c1ccc(COC)cc1
P020075,*CC(*)c1ccc(COCCO)cc1
P020076,*CC(*)c1ccc(COCCC)cc1
P020077,*CC(*)c1ccc(COCCCC)cc1
P020078,*CC(*)c1ccc(COCCCCO)cc1
P020079,*CC(*)c1ccc(COC(C)CC)cc1
P020080,*CC(*)c1ccc(COCCCCCC)cc1
P020083,*CC(*)c1ccc(COCCOCCCC)cc1
P020084,*CC(*)c1ccc(C(=O)N(C)C)cc1
P020085,*CC(*)c1ccc(C(=O)N(CC)CC)cc1
P020086,*CC(*)c1ccc(C(=O)N2CCCCC2)cc1
P020087,*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1
P020088,*CC(*)c1ccc(C(=O)N2CCOCC2)cc1
P020090,*CC(*)c1ccc(C(=O)OC)cc1
P020091,*CC(*)c1ccc(C(=O)OCC)cc1
P020092,*CC(*)c1ccc(C(=O)OCCC)cc1
P020093,*CC(*)c1ccc(C(=O)OC(C)C)cc1
P020094,*CC(*)c1ccc(C(=O)OCCCC)cc1
P020095,*CC(*)c1ccc(C(=O)OCC(C)C)cc1
P020096,*CC(*)c1ccc(C(=O)OCCCCCC)cc1
P020098,*CC(*)c1ccc(C(=O)CC)cc1
P020099,*CC(*)c1ccc(C(=O)CCC)cc1
P020100,*CC(*)c1ccc(C(=O)CCCC)cc1
P020101,*CC(*)c1ccc(C(=O)CCCCC)cc1
P020102,*CC(*)c1ccc(C(=O)CCCCCCC)cc1
P020103,*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1
P020104,*CC(*)c1ccc(C(=O)c2ccccc2)cc1
P020105,*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1
P020108,*CC(*)c1ccc(F)cc1
P020110,*CC(*)c1ccc(I)cc1
P020111,*CC(*)c1ccc(N(C)C)cc1
P020112,*CC(*)c1ccc(OC)cc1
P020113,*CC(*)c1ccc(OCC)cc1
P020114,*CC(*)c1ccc(OCCC)cc1
P020115,*CC(*)c1ccc(OCCCC)cc1
P020116,*CC(*)c1ccc(OCCC(C)C)cc1
P020117,*CC(*)c1ccc(Oc2ccccc2)cc1
P020118,*CC(*)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
P020119,*CC(*)c1ccc(S(=O)(=O)OCCC)cc1
P020120,*CC(*)c1ccc([Si](C)(C)C)cc1
P020121,*CC(*)c1c(Cl)cccc1Cl
P020122,*CC(*)c1ccc(C)cc1C
P020123,*CC(*)c1ccc(C(C)C)cc1C(C)C
P020124,*CC(*)c1ccc(F)cc1C
P020125,*CC(*)c1ccc(Cl)cc1C
P020126,*CC(*)c1ccc(Cl)cc1Cl
P020130,*CC(*)c1cc(C)ccc1C
P020131,*CC(*)c1cc(C(C)(C)C)ccc1C
P020132,*CC(*)c1cc(C(C)C)ccc1C(C)C
P020133,*CC(*)c1cc(Cl)ccc1Cl
P020134,*CC(*)c1cc(F)ccc1F
P020135,*CC(*)c1cc(C)ccc1F
P020136,*CC(*)c1cc(Br)ccc1OCCCC
P020137,*CC(*)c1cc(Br)ccc1OCC
P020138,*CC(*)c1cc(Br)ccc1OC
P020139,*CC(*)c1cc(Br)ccc1OCCC
P020140,*CC(*)c1cc(Br)ccc1OC(C)C
P020141,*CC(*)c1cc(Br)ccc1OCCCCC
P020142,*CC(*)c1cc(Br)ccc1OCCC(C)C
P020143,*CC(*)c1cc(C)cc(C)c1
P020144,*CC(*)c1ccc(C)c(C)c1
P020145,*CC(*)c1ccc(Cl)c(C)c1
P020146,*CC(*)c1ccc(Cl)c(Cl)c1
P020147,*CC(*)c1ccc(Cl)c(F)c1
P020148,*CC(*)c1c(C)cc(C)cc1C
P020149,*CC(*)c1cc(C)c(C)cc1C
P020150,*CC(*)c1c(F)c(F)c(F)c(F)c1F
P020151,*CC(*)(C)c1ccccc1
P020152,*CC(*)(C)c1ccc(C(C)C)cc1
P020153,*C(F)(F)C(*)(F)c1ccccc1
P020154,*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F
P020156,*CC(*)c1cccc2ccccc12
P020157,*CC(*)c1ccc(C(C)=O)cc1
