SMILES,Cp,Molar Mass (g/mol)
*C(=O)Nc1ccc(Oc2cccc3c(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(Oc7cccc8c(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cccc78)cc5)C6=O)cc4)cccc23)cc1,1120.45,1044.99
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O,1230.14,926.66
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,1181.74,620.45
*c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc1)C2=O,1195.89,516.35
*c1ccc(C(c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1185.77,592.44
*c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,1236.36,742.47
*c1ccc2c(c1)C(=O)N(c1cc(C)c(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc1C)C2=O,1255.65,544.4
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C)cc(C)c(N3C(=O)c4ccc(*)cc4C3=O)c1C)C2=O,1224.47,436.41
*c1ccc2c(c1)C(=O)N(c1c(C)cc(C)c(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)c1C)C2=O,1287.76,558.43
*c1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c1C)C2=O,1315.97,573.46
*c1cc2c(cc1C)-c1cc(C)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc1S2(=O)=O,1122.67,532.52
*c1ccc(Oc2cc3ccccc3cc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1137.67,548.49
*c1ccc(Oc2cc3ccccc3cc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,1127.16,624.58
*c1ccc(Oc2cc3ccccc3cc2Oc2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,1139.56,640.58
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cc4ccccc4cc3Oc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,1125.84,652.59
*c1ccc(Oc2cc3ccccc3cc2Oc2ccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,1094.49,688.65
*c1ccc(C(c2ccccc2)(c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)C(F)(F)F)cc1,1162.9,524.44
*C(=O)c1cccc(C(=O)N(*)c2ccccc2)c1,1144.69,223.22
*C(=O)c1ccc(C(=O)N(*)c2ccccc2)cc1,1144.69,223.22
*C(=O)c1ccc(C(=O)N(*)c2ccccc2)c(Sc2ccccc2)c1,1106.03,331.38
*c1c(-c2ccccc2)cc(-c2ccc(-c3cc(-c4ccccc4)c(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)c(-c4ccccc4)c3)cc2)cc1-c1ccccc1,1138.27,746.78
*C(=O)c1ccc2c(c1)C(=O)N(c1c(-c3ccccc3)cc(-c3ccc(-c4cc(-c5ccccc5)c(N5C(=O)c6ccc(*)cc6C5=O)c(-c5ccccc5)c4)cc3)cc1-c1ccccc1)C2=O,1129.12,850.88
*c1ccc(N2C(=O)c3ccc(-c4cccc5c4C(=O)N(*)C5=O)cc3C2=O)cc1,1097.51,366.32
*CCCOC(=O)OCCCCCCOC(=O)OCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,1336.45,606.57
*CCCCCCOC(=O)OCCCOC(=O)OCCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,1367.0,648.65
*CCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,1393.82,690.73
*C1C(=O)N(c2c(CC)cccc2CC)C(=O)C1*,1357.79,229.27
*C1C(=O)N(c2ccccc2C)C(=O)C1*,1229.01,187.19
*CC(C)(C)C1C(=O)N(c2c(CC)cccc2CC)C(=O)C1*,1450.48,285.37
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(C)CC(C)(C)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc43)cc1)C2=O,1189.22,552.56
*C1C(=O)N(c2ccccc2C(=O)OC)C(=O)C1*,1225.9,231.2
*C1C(=O)N(c2ccccc2C(=O)OCC)C(=O)C1*,1259.15,245.23
*C1C(=O)N(c2ccccc2C(=O)OCCCC)C(=O)C1*,1315.43,273.28
*CC1(*)CC(=O)N(c2ccccc2)C1=O,1214.9,187.19
*OC(=O)CCCCC(*)=O,1473.57,128.12
*OC(=O)c1ccccc1NC(=O)CCCCC(=O)Nc1ccccc1C(=O)OC(=O)c1cccc(C(*)=O)c1,1194.34,514.48
*OC(=O)c1ccc(NC(=O)CCCCC(=O)Nc2ccc(C(=O)OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1194.34,514.48
*OC(=O)c1ccccc1NC(=O)CCCCC(=O)Nc1ccccc1C(=O)OC(=O)c1ccc(C(*)=O)cc1,1194.34,514.48
*OC(=O)c1ccc(NC(=O)CCCCC(=O)Nc2ccc(C(=O)OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,1194.34,514.48
*OC(=O)CCCCCCCC(*)=O,1556.09,170.2
*OC(=O)CCCCCCCCCCC(*)=O,1605.9,212.28
*OC(=O)CS(=O)(=O)CCS(=O)(=O)CC(*)=O,1124.78,256.26
*OC(=O)CCS(=O)(=O)CCS(=O)(=O)CCC(*)=O,1192.12,284.32
*OC(=O)c1ccc(CCCCCCc2ccc(C(*)=O)cc2)cc1,1327.99,308.36
*OC(=O)c1ccc(C(C)(C)c2ccc(C(*)=O)cc2)cc1,1256.86,266.28
*OC(=O)c1ccc(Cc2ccc(C(*)=O)cc2)cc1,1186.88,238.23
*OC(=O)CCCCCCCCCCCCCCCCC(*)=O,1663.09,296.44
*OC(=O)c1ccc(CCCCCc2ccc(C(*)=O)cc2)cc1,1305.15,294.33
*OC(=O)Cc1ccc(CC(*)=O)cc1,1266.43,176.16
*OC(=O)CCc1ccc(CCC(*)=O)cc1,1340.74,204.22
*OC(=O)CCCCCC(*)=O,1506.51,142.15
*OC(=O)CCCCCCCCC(*)=O,1575.22,184.23
*OC(=O)CCCCCCC(*)=O,1533.53,156.18
*OC(=O)CCS(=O)(=O)CCC(*)=O,1241.04,192.19
*OC(=O)c1ccc(C(*)=O)cc1,1163.98,148.11
*OC(=O)CCCCCCCCCCCCC(*)=O,1629.41,240.33
*CCC(=O)OC(=O)CCC1CCC(*)N1C,1507.02,227.26
*OC(=O)c1ccc(CCCCc2ccc(C(*)=O)cc2)cc1,1280.02,280.31
*OC(=O)CCCCCCCCCCCC(*)=O,1618.38,226.31
*OC(=O)c1ccc(CCCc2ccc(C(*)=O)cc2)cc1,1252.24,266.28
*OC(=O)CCCCCCCCCC(*)=O,1591.65,198.25
*OC(=O)CS(=O)(=O)Cc1ccc(CS(=O)(=O)CC(*)=O)cc1,1123.01,332.36
*OC(=O)CCS(=O)(=O)Cc1ccc(CS(=O)(=O)CCC(*)=O)cc1,1176.28,360.41
*OC(=O)c1ccc(C(F)(F)C(F)(F)C(F)(F)c2ccc(C(*)=O)cc2)cc1,1263.54,374.23
*OC(=O)c1cccc(C(*)=O)c1,1163.98,148.11
*CC1(C)CC(*)(C)C(=O)OC1=O,1415.84,170.16
*CCCCOC(=O)SC(=O)O*,1336.37,176.19
*CC1CC(*)C(=O)OC1=O,1326.03,142.11
*CCCCCCOC(=O)O*,1605.44,144.17
*OC1C(C)(C)C(OC(*)=O)C1(C)C,1556.44,170.2
*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)O*,1448.55,288.1
*Oc1ccc(Cc2ccc(OC(*)=O)cc2)cc1,1214.3,226.22
*Oc1ccc(Cc2ccc(OC(*)=O)c(C)c2)cc1C,1320.55,254.27
*Oc1ccc(C(C)c2ccc(OC(*)=O)cc2)cc1,1250.34,240.25
*Oc1ccc(C(CCC)c2ccc(OC(*)=O)cc2)cc1,1308.58,268.3
*Oc1ccc(C(c2ccc(OC(*)=O)cc2)C(C)C)cc1,1309.85,268.3
*Oc1ccc(C(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,1180.4,302.31
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1284.57,254.27
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(-c3ccccc3)c2)cc1-c1ccccc1,1231.7,406.46
*Oc1ccc(C(c2ccccc2)c2ccc(OC(*)=O)cc2C)c(C)c1,1265.06,330.36
*Oc1ccc(C(C)(CC)c2ccc(OC(*)=O)cc2)cc1,1311.9,268.3
*Oc1ccc(C(C)(CCC)c2ccc(OC(*)=O)cc2)cc1,1336.51,282.32
*Oc1ccc(C(C)(CC(C)C)c2ccc(OC(*)=O)cc2)cc1,1359.95,296.35
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C)c2)cc1C,1373.28,282.32
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(Cl)c2)cc1Cl,1147.53,323.16
*Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(*)=O)c(Cl)c2)cc1Cl,1084.15,392.04
*Oc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(*)=O)c(Br)c2)cc1Br,1104.85,569.84
*Oc1ccc(C(C)(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,1211.01,316.34
*Oc1ccc(C(CCC)(CCC)c2ccc(OC(*)=O)cc2)cc1,1379.07,310.38
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCC2)cc1,1273.42,280.31
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCCC2)cc1,1298.86,294.33
*Oc1ccc(C2(c3ccc(OC(*)=O)c(C)c3)CCCCC2)cc1C,1375.31,322.39
*Oc1c(Cl)cc(C2(c3cc(Cl)c(OC(*)=O)c(Cl)c3)CCCCC2)cc1Cl,1112.47,432.1
*Oc1ccc(C2(c3ccc(OC(*)=O)c(Cl)c3)CCCCC2)cc1Cl,1174.23,363.22
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,1130.62,376.39
*Oc1ccc(C(c2ccccc2)(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,1161.59,378.4
*Oc1ccc(C(c2ccc(OC(*)=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1283.21,362.22
*Oc1ccc(C(c2ccc(OC(*)=O)cc2)(C(F)(F)Cl)C(F)(F)Cl)cc1,1147.46,395.12
*Oc1ccc(C(C#N)(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,1138.17,327.32
*Oc1cccc(C(F)(F)C(F)(F)C(F)(F)c2cccc(OC(*)=O)c2)c1,1283.21,362.22
*Oc1ccc(C(C)(C)c2ccc(C(C)(C)c3ccc(OC(*)=O)cc3)cc2)cc1,1312.71,372.44
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,1478.17,310.38
*Oc1ccc(Cc2ccc(OC(*)=S)cc2)cc1,1145.36,242.29
*Oc1ccc(C(C)c2ccc(OC(*)=S)cc2)cc1,1182.91,256.32
*Oc1ccc(C(CC)c2ccc(OC(*)=S)cc2)cc1,1215.31,270.34
*Oc1ccc(C(CCC)c2ccc(OC(*)=S)cc2)cc1,1244.51,284.37
*Oc1ccc(C(c2ccc(OC(*)=S)cc2)C(C)C)cc1,1245.71,284.37
*Oc1ccc(C(c2ccc(OC(*)=S)cc2)C(CC)CC)cc1,1296.14,312.42
*Oc1ccc(C2(c3ccc(OC(*)=S)cc3)CCCC2)cc1,1213.86,296.38
*Oc1ccc(C2(c3ccc(OC(*)=S)cc3)CCCCC2)cc1,1240.67,310.4
*Oc1ccc(C2(c3ccc(OC(*)=S)cc3)CCC(C)CC2)cc1,1266.22,324.43
*Oc1ccc(C(c2ccccc2)c2ccc(OC(*)=S)cc2)cc1,1129.65,318.38
*Oc1ccc(C(c2ccc(OC(*)=S)cc2)c2cccc3ccccc23)cc1,1120.94,380.45
*Oc1ccc(C(C)(C)c2ccc(OC(*)=S)cc2)cc1,1218.6,270.34
*Oc1ccc(C(C)(CC)c2ccc(OC(*)=S)cc2)cc1,1247.64,284.37
*Oc1ccc(C(C)(CC(C)C)c2ccc(OC(*)=S)cc2)cc1,1298.99,312.42
*Oc1ccc(C(CC)(CC)c2ccc(OC(*)=S)cc2)cc1,1273.95,298.39
*Oc1ccc(C(C)(c2ccccc2)c2ccc(OC(*)=S)cc2)cc1,1160.92,332.41
*Oc1ccc(C(CC)(c2ccccc2)c2ccc(OC(*)=S)cc2)cc1,1187.09,346.43
*Oc1ccc(/C(C)=N/N=C(\C)c2ccc(OC(=O)OCCCCCCOC(*)=O)cc2)cc1,1372.69,438.47
*Oc1ccc(/C(C)=N/N=C(\C)c2ccc(OC(=O)OCCCCCCCCOC(*)=O)cc2)cc1,1398.83,466.52
*Oc1ccc(/C(C)=N/N=C(\C)c2ccc(OC(=O)OCCCCCCCCCCOC(*)=O)cc2)cc1,1422.0,494.57
*Oc1ccc(/C(C)=N/N=C(\C)c2ccc(OC(=O)OCCCCCCCCCCCCOC(*)=O)cc2)cc1,1442.68,522.62
*CCCCOC(=O)O*,1556.66,116.11
*CCCCCCCCCCOC(=O)O*,1662.01,200.27
*Oc1ccc(CCc2ccc(OC(*)=O)cc2)cc1,1248.93,240.25
*Oc1ccc(C(C)(CCCC)c2ccc(OC(*)=O)cc2)cc1,1358.8,296.35
*SC(=O)OCC(C)(C)COC(=O)SN1CC(C)N(*)CC1C,1404.33,334.47
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C(C)C)c2)cc1C(C)C,1447.25,338.43
*Oc1cc(Br)c(C(C)(C)c2c(Br)cc(OC(*)=O)cc2Br)c(Br)c1,1104.85,569.84
*Oc1cc(Cl)c(C(C)(C)c2c(Cl)cc(OC(*)=O)cc2Cl)c(Cl)c1,1084.15,392.04
*Oc1ccc(C(C)(CCCCCCC)c2ccc(OC(*)=O)cc2)cc1,1414.57,338.43
*Oc1ccc(C(=O)CCCCCCCCC(=O)c2ccc(OC(*)=O)cc2)cc1,1350.0,380.42
*CCCCCOC(=O)O*,1583.68,130.14
*Oc1ccc(S(=O)c2ccc(OC(*)=O)cc2)cc1,1150.1,260.26
*Oc1ccc(S(=O)(=O)c2ccc(OC(*)=O)cc2)cc1,1082.55,276.26
*SC(=O)OCCCCOC(=O)SN1CCN(*)CC1,1339.8,292.39
*SC(=O)OCCCCOC(=O)SN1CC(C)N(*)CC1C,1382.85,320.44
*CCCCOC(=O)SSC(=O)O*,1245.82,208.26
*CCCC1CCN(SC(=O)OCCCCOC(=O)SN2CCC(*)CC2)CC1,1440.67,416.61
*Cc1ccc(COC(=O)O*)cc1,1310.05,164.15
*c1ccc(OC(=O)Oc2ccc(C3(*)OC(=O)c4ccccc43)cc2)cc1,1144.1,344.31
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,1056.77,307.11
*Oc1ccc(OC(=O)Oc2ccc(-c3ccc(OC(*)=O)cc3)cc2)cc1C,1226.09,362.32
*Oc1ccc(OC(=O)Oc2ccc(-c3ccc(OC(*)=O)cc3)cc2)cc1,1187.78,348.3
*Oc1cccc(OC(=O)Oc2ccc(-c3ccc(OC(*)=O)cc3)cc2)c1,1187.78,348.3
*Oc1ccc(OC(=O)Oc2ccc(-c3ccc(OC(*)=O)cc3)cc2)cc1Cl,1138.64,382.74
*Oc1ccc(OC(=O)Oc2ccc(OC(*)=O)cc2)cc1C,1255.07,286.23
*Oc1ccc(OC(=O)Oc2ccc(OC(*)=O)cc2)cc1Cl,1143.99,306.65
*Oc1cccc(OC(=O)Oc2ccc(OC(*)=O)cc2)c1,1207.55,272.2
*Oc1ccc2ccc(OC(=O)Oc3ccc(OC(*)=O)cc3)cc2c1,1165.82,346.28
*Oc1ccc2ccc(OC(=O)Oc3cccc(OC(*)=O)c3)cc2c1,1165.82,346.28
*Oc1ccc2ccc(OC(=O)Oc3ccc(OC(*)=O)cc3C)cc2c1,1205.2,360.31
*Oc1ccc2ccc(OC(=O)Oc3ccc(OC(*)=O)cc3Cl)cc2c1,1118.4,380.72
*Oc1cccc2c(OC(=O)Oc3ccc(OC(*)=O)cc3)cccc12,1165.82,346.28
*Oc1cccc2c(OC(=O)Oc3cccc(OC(*)=O)c3)cccc12,1165.82,346.28
*Oc1cccc2c(OC(=O)Oc3ccc(OC(*)=O)cc3C)cccc12,1205.2,360.31
*Oc1cccc2c(OC(=O)Oc3ccc(OC(*)=O)cc3Cl)cccc12,1118.4,380.72
*Oc1ccc(OC(*)=O)cc1,1207.55,136.1
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CC3CCC2C3)cc1,1266.39,306.34
*Oc1ccc(C(c2ccc(OC(*)=O)cc2)C(Cl)(Cl)Cl)cc1,1025.55,343.57
*CC(C)(C)CS(=O)(=O)CC(C)(C)COC(=O)O*,1456.57,264.34
*Oc1ccc(C(C)c2ccc(OC(*)=O)c(C)c2)cc1C,1347.27,268.3
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(Cl)c2)cc1Cl,1258.26,351.21
*CCN*,1507.78,43.07
*CCN(*)C(C)=O,1575.09,85.11
*CCN(*)C(=O)CC,1607.96,99.13
*CCN(*)C(=O)CCC,1632.67,113.16
*CCN(*)C(=O)C(C)C,1635.68,113.16
*CCN(*)C(=O)CCCC,1651.94,127.18
*CCN(*)C(=O)CC(C)C,1654.61,127.18
*CCN(*)C(=O)C(C)(C)C,1661.61,127.18
*CCN(*)C(=O)CCCCC,1667.37,141.21
*CCCN(*)C(=O)CCCCC,1680.02,155.24
*CCN(*)C(=O)CCCCCC,1680.02,155.24
*CCN(*)C(=O)CCCCCCC,1690.57,169.26
*CCN(*)C(=O)CCCCCCCCCCC,1719.65,225.37
*CCN(*)C(=O)CCCCCCCCCCCCCCCCC,1743.49,309.52
*CCN(*)C(=O)C1CCCCC1,1571.34,153.22
*CCN(*)C(=O)c1ccccc1,1294.47,147.17
*CCCN(*)C(=O)c1ccccc1,1339.1,161.2
*CCN(*)C(=O)c1ccc(C)cc1,1358.89,161.2
*CCN(*)C(=O)c1ccc2ccccc2c1,1191.02,221.25
*CCN(*)C(=O)C(F)(F)C(F)(F)F,1454.11,189.09
*CCN(*)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1443.86,439.14
*CCN(*)C(=O)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1531.86,579.4
*CCN(*)C(=O)c1ccc(Cl)cc1,1159.66,181.61
*CCCCCCCCCCNCCCCCCN*,1705.94,254.45
*CCCN(*)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1455.11,453.17
*CCS(=O)(=O)CCN1CCN(*)CC1,1403.44,204.3
*CCCN(*)C(C)=O,1607.96,99.13
*CCCN(*)C(=O)CC,1632.67,113.16
*CCCN(*)C(=O)C(C)(C)C,1676.09,141.21
*CCN(*)C(=O)CCC(=O)OC,1515.07,157.17
*CCN(*)C(=O)C(Cl)Cl,1092.34,153.99
*CCN(*)C(=O)C(Cl)(Cl)Cl,987.15,188.43
*CCCN*,1581.37,57.1
*N[Si](*)(C)C,1733.11,59.1
*C(=O)c1ccccc1-c1ccccc1C(=O)N1CCN(*)CC1,1255.51,292.33
*C(=O)c1ccc(C(C)(CC)c2ccc(C(=O)N3CCN(*)CC3)cc2)cc1,1347.9,348.43
*C(=O)CCC1(CCC(=O)N2CCN(*)CC2)c2ccccc2-c2ccccc21,1316.77,360.44
*CCC1CC(=O)N(*)C1=O,1359.19,125.13
*\N=C\c1ccc(C=Nc2c(cc(cc2-c2ccccc2)-c2ccc(cc2)-c2cc(-c3ccccc3)c(*)c(c2)-c2ccccc2)-c2ccccc2)cc1,1134.23,686.81
*O[Si](C)(C)Oc1ccc(C(C)(C)c2ccc(*)cc2)cc1,1433.08,270.34
*O[Si](c1ccccc1)(c1ccccc1)c1cccc(*)c1,1198.92,260.3
*CCC[Si](*)(C)c1ccc(N(C)C)cc1,1578.06,191.29
*CCC[Si](*)(c1ccccc1)c1ccc(N(C)C)cc1,1414.32,253.36
*CCC[Si](*)(C)c1ccccc1,1488.92,148.22
*C[Si](*)(C)C,1953.91,58.1
*CCC[Si](*)(C)C,1906.19,86.16
*CCC[Si](*)(c1ccc(C)cc1)c1ccc(C)cc1,1402.32,238.34
*O[Si](*)(CC)CC,1870.65,88.13
*O[Si](*)(CCC)CCC,1855.36,116.18
*O[Si](C)(C)O[Si](C)(C)O[Si](*)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,1561.79,486.3
*O[Si](C)(C)O[Si](*)(C)c1c(F)c(F)c(F)c(F)c1F,1599.0,273.19
*O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)c1c(F)c(F)c(F)c(F)c1F,1653.29,333.27
*O[Si](C)(CCC(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](*)(C)CCC(F)(F)F,1560.34,624.38
*O[Si](C)(CCC(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](*)(C)CCC(F)(F)F,1530.2,824.42
*O[Si](C)(CCC(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](*)(C)CCC(F)(F)F,1543.19,724.4
*O[Si](C)(CCC(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](*)(C)CCC(F)(F)F,1584.04,524.36
*O[Si](C)(CCC(F)(F)F)CCC(F)(F)CC[Si](*)(C)CCC(F)(F)F,1643.33,374.33
*O[Si](C)(CCC(F)(F)F)CCC(F)(F)C(F)(F)CC[Si](*)(C)CCC(F)(F)F,1618.91,424.34
*O[Si](*)(C)C,1900.2,60.08
*O[Si](*)(C)c1c(F)c(F)c(F)c(F)c1F,1514.09,213.11
*O[Si](*)(C)CCC(F)(F)F,1646.31,142.11
*O[Si](C)(Oc1ccc(*)cc1)c1ccccc1,1314.44,214.24
*O[Si](C)(Oc1ccc(C(C)(C)c2ccc(*)cc2)cc1)c1ccccc1,1335.35,332.41
*O[Si](C)(C)Oc1ccc(*)cc1,1479.53,152.17
*O[Si](C)(C)c1c(F)c(F)c(F)c([Si](*)(C)C)c1F,1633.26,253.22
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)O[Si](C)(C)C,1900.2,300.39
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)CCc1ccccc1,1706.26,330.43
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)c1ccccc1,1696.88,302.38
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(c1ccccc1)c1cccc([Si](*)(C)c2ccccc2)c1,1532.64,484.61
*O[Si](C)(C)O[Si](C)(C)c1c(F)c(F)c(F)c([Si](*)(C)C)c1F,1684.45,313.3
*O[Si](C)(C)c1cccc(C(F)(F)C(F)(F)c2cccc([Si](*)(C)C)c2)c1,1447.92,356.36
*O[Si](C)(C)c1cccc(C(F)(F)C(F)(F)C(F)(F)c2cccc([Si](*)(C)C)c2)c1,1446.47,406.37
*O[Si](C)(C)O[Si](C)(C)c1ccc([Si](*)(C)C)cc1,1670.65,240.33
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc([Si](*)(C)C)cc1,1769.02,420.56
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1cccc([Si](*)(C)C)c1,1747.16,360.48
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc([Si](*)(C)C)cc1,1747.16,360.48
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc([Si](*)(C)C)cc1,1716.56,300.4
*O[Si](O[Si](C)(C)c1ccc([Si](*)(C)C)cc1)(c1ccccc1)c1ccccc1,1411.47,364.46
*O[Si](C)(C)c1ccc([Si](*)(C)C)cc1,1594.14,180.25
*[Si](*)(CCCCCC)CCCCCC,1853.55,184.34
*O[Si](*)(c1ccccc1)c1ccccc1,1232.72,184.21
*O[Si](*)(c1ccccc1)c1ccc(C)cc1,1289.47,198.24
*[Si](*)(c1ccccc1)c1ccccc1,1195.53,168.21
*[Si](*)(C)C,2000.54,44.08
*O[Si](O[Si](O[Si](*)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccc(C)cc1,1252.58,566.66
*O[Si](*)(C)CCC,1870.65,88.13
*O[Si](*)(C)CCCCCCCC,1842.6,158.26
*O[Si](*)(C)CC,1882.62,74.1
*O[Si](*)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1512.28,392.16
*O[Si](*)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1496.8,492.18
*C/C=C/C[Si](*)(C)C,1979.1,98.17
*C/C=C/C[Si](*)(C)c1ccccc1,1564.86,160.23
*C/C=C/C[Si](*)(CCCOc1ccc(-c2ccccc2)cc1)c1ccccc1,1386.46,356.47
*C/C=C/C[Si](*)(CCCOc1ccccc1)c1ccccc1,1459.58,280.38
*C/C=C/C[Si](*)(C)CCCOc1ccc2ccccc2c1,1456.19,292.39
*C/C=C/C[Si](*)(C)CCCOc1ccc(-c2ccccc2)cc1,1486.98,294.4
*C/C=C/C[Si](*)(C)CCCOc1ccccc1,1615.91,218.31
*O[Si](*)(C)CCCCOc1ccc(-c2ccc(C#N)cc2)cc1,1357.7,295.35
*O[Si](*)(C)CCCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2C)cc1,1431.8,409.49
*C[Si](*)(C)CCCCCC,1873.76,128.23
*O[Si](*)(C)CCCCCC,1850.19,130.21
*C[Si](*)(C)CCCN(CC)CC,1862.43,157.28
*C[Si](*)(C)CCCn1c2ccccc2c2ccccc21,1357.27,251.34
*O[Si](*)(C)CCCn1c2ccccc2c2ccccc21,1349.18,253.32
*C[Si](*)(C)CCCOCCOCCOC,1805.9,204.29
*O[Si](*)(C)CCCOCCOCCOC,1791.67,206.26
