PID,SMILES,Cp,No Zero Cp Group
P020037,*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,1108.54,True
P020039,*CC(*)c1cccc(Cl)c1,1059.63,True
P020040,*CC(*)c1cccc(F)c1,1155.68,True
P020041,*CC(*)c1ccc(C)cc1,1274.86,True
P020042,*CC(*)c1ccc(CC)cc1,1331.36,True
P020043,*CC(*)c1ccc(C(C)C)cc1,1348.29,True
P020045,*CC(*)c1ccc(CCCC)cc1,1414.68,True
P020046,*CC(*)c1ccc(C(C)(C)C)cc1,1364.45,True
P020047,*CC(*)c1ccc(C(C)CC)cc1,1388.47,True
P020049,*CC(*)c1ccc(CCCCCC)cc1,1473.18,True
P020050,*CC(*)c1ccc(CCCCCCCC)cc1,1516.51,True
P020051,*CC(*)c1ccc(CCCCCCCCC)cc1,1534.22,True
P020052,*CC(*)c1ccc(CCCCCCCCCC)cc1,1549.89,True
P020053,*CC(*)c1ccc(CCCCCCCCCCCC)cc1,1576.4,True
P020054,*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,1597.96,True
P020055,*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,1615.84,True
P020056,*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,1630.9,True
P020058,*CC(*)c1ccc(-c2ccccc2)cc1,1139.34,True
P020059,*CC(*)c1ccc(COCCOCC)cc1,1384.81,True
P020060,*CC(*)c1ccc(C#N)cc1,1120.74,True
P020061,*CC(*)c1ccc(Cl)cc1,1059.63,True
P020062,*CC(*)c1ccc(Br)cc1,797.93,True
P020063,*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,1025.29,True
P020064,*CC(*)c1ccc(/C(C)=N/O)cc1,1195.11,True
P020065,*CC(*)c1ccc(C(C)(C)O)cc1,1262.16,True
P020066,*CC(*)c1ccc(C(C)(O)CC)cc1,1305.55,True
P020067,*CC(*)c1ccc(C(C)(O)CCC)cc1,1342.54,True
P020068,*CC(*)c1ccc(C(C)(O)CCCC)cc1,1374.45,True
P020069,*CC(*)c1ccc(C(C)(O)CCCCC)cc1,1402.26,True
P020070,*CC(*)c1ccc(C(O)CCN(C)C)cc1,1373.41,True
P020071,*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,1413.88,True
P020072,*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,1368.02,True
P020074,*CC(*)c1ccc(COC)cc1,1300.98,True
P020075,*CC(*)c1ccc(COCCO)cc1,1288.28,True
P020076,*CC(*)c1ccc(COCCC)cc1,1381.58,True
P020077,*CC(*)c1ccc(COCCCC)cc1,1412.96,True
P020078,*CC(*)c1ccc(COCCCCO)cc1,1358.87,True
P020079,*CC(*)c1ccc(COC(C)CC)cc1,1390.89,True
P020080,*CC(*)c1ccc(COCCCCCC)cc1,1463.64,True
P020083,*CC(*)c1ccc(COCCOCCCC)cc1,1435.39,True
P020084,*CC(*)c1ccc(C(=O)N(C)C)cc1,1265.24,True
P020085,*CC(*)c1ccc(C(=O)N(CC)CC)cc1,1340.05,True
P020086,*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,1331.48,True
P020087,*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,1386.34,True
P020088,*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,1280.03,True
P020090,*CC(*)c1ccc(C(=O)OC)cc1,1212.54,True
P020091,*CC(*)c1ccc(C(=O)OCC)cc1,1259.89,True
P020092,*CC(*)c1ccc(C(=O)OCCC)cc1,1300.25,True
P020093,*CC(*)c1ccc(C(=O)OC(C)C)cc1,1278.18,True
P020094,*CC(*)c1ccc(C(=O)OCCCC)cc1,1335.08,True
P020095,*CC(*)c1ccc(C(=O)OCC(C)C)cc1,1314.51,True
P020096,*CC(*)c1ccc(C(=O)OCCCCCC)cc1,1392.11,True
P020098,*CC(*)c1ccc(C(=O)CC)cc1,1242.46,True
P020099,*CC(*)c1ccc(C(=O)CCC)cc1,1287.94,True
P020100,*CC(*)c1ccc(C(=O)CCCC)cc1,1326.64,True
P020101,*CC(*)c1ccc(C(=O)CCCCC)cc1,1359.97,True
P020102,*CC(*)c1ccc(C(=O)CCCCCCC)cc1,1414.46,True
P020103,*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,1141.62,True
